Player,Predicted PPG
Precious Achiuwa,7.23612121665454
Bam Adebayo,19.220365433876136
Ochai Agbaji,6.841925297016431
Santi Aldama,10.657608955574174
Nickeil Alexander-Walker,7.770496916497245
Grayson Allen,12.095007981609694
Jarrett Allen,15.917868039563329
Timmy Allen,0.5915869492499635
Jose Alvarado,6.887479340253188
Kyle Anderson,5.569779242502358
Giannis Antetokounmpo,26.90720096697526
Thanasis Antetokounmpo,1.2798687367965442
Cole Anthony,11.408758505462362
OG Anunoby,13.382622150737266
Ryan Arcidiacono,1.3971054552770967
Deni Avdija,14.764770063920867
Deandre Ayton,16.597654345883
Udoka Azubuike,1.946354987007759
Ibou Badji,1.1097817234089535
Marvin Bagley III,10.678653708765658
Amari Bailey,3.371084855989856
Patrick Baldwin Jr.,5.3767639935455325
LaMelo Ball,19.648595752278904
Mo Bamba,4.914173707411127
Paolo Banchero,22.91290980432781
Desmond Bane,20.21396762185941
Dalano Banton,10.341208982057012
Dominick Barlow,4.333288360873796
Harrison Barnes,12.139512095935174
Scottie Barnes,18.507246803157848
RJ Barrett,19.067955361441697
Charles Bassey,2.8088997310750368
Emoni Bates,3.839081475698868
Keita Bates-Diop,4.326951593615752
Nicolas Batum,3.427185462057203
Darius Bazley,5.033907334594043
Bradley Beal,15.341522485381605
Malik Beasley,11.164696347026592
MarJon Beauchamp,4.824248958834332
Jules Bernard,3.8665236535964973
Dāvis Bertāns,5.653387882243179
Patrick Beverley,4.726425130514522
Saddiq Bey,12.507345858038729
Goga Bitadze,5.43218526808354
Onuralp Bitim,3.460478476289053
Bismack Biyombo,2.8394884519398715
Anthony Black,5.904890684974945
Leaky Black,2.974628187009028
Buddy Boeheim,3.3173567988106436
Bogdan Bogdanović,15.16089198876537
Bojan Bogdanović,13.26541181058055
Bol Bol,5.448276676710398
Marques Bolden,2.9622577476987133
Devin Booker,24.043686187555842
Brandon Boston Jr.,5.808359853688053
Chris Boucher,5.444347019574294
James Bouknight,4.1751198070339175
Jamaree Bouyea,2.4508399261155644
Malaki Branham,10.163676318426123
Christian Braun,7.601145592563654
Mikal Bridges,19.48846427247294
Miles Bridges,20.795405060891717
Oshae Brissett,3.8379154857971316
Izaiah Brockington,5.023544206350527
Malcolm Brogdon,12.267820123833708
Armoni Brooks,3.985191245925355
Dillon Brooks,11.920314242703888
Bruce Brown,10.174403602245107
Charlie Brown Jr.,1.6731360118804854
Greg Brown III,2.496751212712926
Jaylen Brown,21.784239440405614
Kendall Brown,2.1764438342759123
Kobe Brown,2.687893236366529
Moses Brown,3.0039176321021688
